=== Master.txt (Master Node Log) ===
============================================================
Master Node | Distributed KV Store
============================================================

[0.00] MASTER | INIT | INFO | 시스템 시계 시작, 포트 5000 연결 대기
[0.00] MASTER | INIT | SUCCESS | 고유 KV 작업 5,000개 생성 완료
[0.00] MASTER | CONNECT | SUCCESS | 워커2 연결, 대기열 초기화 (0/10)
[0.00] MASTER | CONNECT | SUCCESS | 워커4 연결, 대기열 초기화 (0/10)
[0.00] MASTER | CONNECT | SUCCESS | 워커1 연결, 대기열 초기화 (0/10)
[0.00] MASTER | CONNECT | SUCCESS | 워커3 연결, 대기열 초기화 (0/10)
[0.00] MASTER | INIT | SUCCESS | 워커 4개 연결 완료, 작업 배정 시작
[1.00] MASTER | DISTRIB | INFO | KV[0001] -> 워커1 배정, 대기열=1/10, 일반
[2.00] MASTER | DISTRIB | INFO | KV[0002] -> 워커3 배정, 대기열=1/10, 일반
[3.00] MASTER | DISTRIB | INFO | KV[0003] -> 워커2 배정, 대기열=1/10, 일반
[4.00] MASTER | DISTRIB | INFO | KV[0004] -> 워커4 배정, 대기열=1/10, 일반
[5.00] MASTER | DISTRIB | INFO | KV[0005] -> 워커1 배정, 대기열=2/10, 일반
[6.00] MASTER | DISTRIB | INFO | KV[0006] -> 워커4 배정, 대기열=2/10, 일반
[7.00] MASTER | DISTRIB | INFO | KV[0007] -> 워커2 배정, 대기열=2/10, 일반
[8.00] MASTER | DISTRIB | INFO | KV[0008] -> 워커3 배정, 대기열=2/10, 일반
[9.00] MASTER | DISTRIB | INFO | KV[0009] -> 워커1 배정, 대기열=3/10, 일반
[10.00] MASTER | DISTRIB | INFO | KV[0010] -> 워커2 배정, 대기열=3/10, 일반
[11.00] MASTER | DISTRIB | INFO | KV[0011] -> 워커3 배정, 대기열=3/10, 일반
[12.00] MASTER | DISTRIB | INFO | KV[0012] -> 워커4 배정, 대기열=3/10, 일반
[13.00] MASTER | DISTRIB | INFO | KV[0013] -> 워커1 배정, 대기열=4/10, 일반
[14.00] MASTER | DISTRIB | INFO | KV[0014] -> 워커3 배정, 대기열=4/10, 일반
[15.00] MASTER | DISTRIB | INFO | KV[0015] -> 워커2 배정, 대기열=4/10, 일반
[16.00] MASTER | DISTRIB | INFO | KV[0016] -> 워커4 배정, 대기열=4/10, 일반
[17.00] MASTER | DISTRIB | INFO | KV[0017] -> 워커1 배정, 대기열=5/10, 일반
[18.00] MASTER | DISTRIB | INFO | KV[0018] -> 워커4 배정, 대기열=5/10, 일반
[19.00] MASTER | DISTRIB | INFO | KV[0019] -> 워커2 배정, 대기열=5/10, 일반
[20.00] MASTER | DISTRIB | INFO | KV[0020] -> 워커3 배정, 대기열=5/10, 일반
[21.00] MASTER | DISTRIB | INFO | KV[0021] -> 워커1 배정, 대기열=6/10, 일반
[22.00] MASTER | DISTRIB | INFO | KV[0022] -> 워커2 배정, 대기열=6/10, 일반
[23.00] MASTER | DISTRIB | INFO | KV[0023] -> 워커3 배정, 대기열=6/10, 일반
[24.00] MASTER | DISTRIB | INFO | KV[0024] -> 워커4 배정, 대기열=6/10, 일반
[25.00] MASTER | DISTRIB | INFO | KV[0025] -> 워커1 배정, 대기열=7/10, 일반
[26.00] MASTER | DISTRIB | INFO | KV[0026] -> 워커3 배정, 대기열=7/10, 일반
[27.00] MASTER | DISTRIB | INFO | KV[0027] -> 워커2 배정, 대기열=7/10, 일반
[28.00] MASTER | DISTRIB | INFO | KV[0028] -> 워커4 배정, 대기열=7/10, 일반
[29.00] MASTER | DISTRIB | INFO | KV[0029] -> 워커1 배정, 대기열=8/10, 일반
[30.00] MASTER | DISTRIB | INFO | KV[0030] -> 워커4 배정, 대기열=8/10, 일반
[31.00] MASTER | DISTRIB | INFO | KV[0031] -> 워커2 배정, 대기열=8/10, 일반
[32.00] MASTER | DISTRIB | INFO | KV[0032] -> 워커3 배정, 대기열=8/10, 일반
[33.00] MASTER | DISTRIB | INFO | KV[0033] -> 워커1 배정, 대기열=9/10, 일반
[34.00] MASTER | DISTRIB | INFO | KV[0034] -> 워커2 배정, 대기열=9/10, 일반
[35.00] MASTER | DISTRIB | INFO | KV[0035] -> 워커3 배정, 대기열=9/10, 일반
[36.00] MASTER | DISTRIB | INFO | KV[0036] -> 워커4 배정, 대기열=9/10, 일반
[37.00] MASTER | DISTRIB | INFO | KV[0037] -> 워커1 배정, 대기열=10/10, 일반
[38.00] MASTER | DISTRIB | INFO | KV[0038] -> 워커3 배정, 대기열=10/10, 일반
[39.00] MASTER | DISTRIB | INFO | KV[0039] -> 워커2 배정, 대기열=10/10, 일반
[40.00] MASTER | DISTRIB | INFO | KV[0040] -> 워커4 배정, 대기열=10/10, 일반
[41.00] MASTER | DISTRIB | INFO | KV[0041] -> 워커2 배정, 대기열=2/10, 일반
[42.00] MASTER | DISTRIB | INFO | KV[0042] -> 워커2 배정, 대기열=3/10, 일반
[43.00] MASTER | DISTRIB | INFO | KV[0043] -> 워커2 배정, 대기열=4/10, 일반
[44.00] MASTER | DISTRIB | INFO | KV[0044] -> 워커2 배정, 대기열=5/10, 일반
[45.00] MASTER | DISTRIB | INFO | KV[0045] -> 워커2 배정, 대기열=6/10, 일반
[46.00] MASTER | DISTRIB | INFO | KV[0046] -> 워커2 배정, 대기열=7/10, 일반
[47.00] MASTER | DISTRIB | INFO | KV[0047] -> 워커2 배정, 대기열=8/10, 일반
[48.00] MASTER | DISTRIB | INFO | KV[0048] -> 워커2 배정, 대기열=9/10, 일반
[49.00] MASTER | DISTRIB | INFO | KV[0049] -> 워커2 배정, 대기열=10/10, 일반
[50.00] MASTER | DISTRIB | INFO | KV[0050] -> 워커4 배정, 대기열=2/10, 일반
[51.00] MASTER | DISTRIB | INFO | KV[0051] -> 워커4 배정, 대기열=3/10, 일반
[52.00] MASTER | DISTRIB | INFO | KV[0052] -> 워커4 배정, 대기열=4/10, 일반
[53.00] MASTER | DISTRIB | INFO | KV[0053] -> 워커4 배정, 대기열=5/10, 일반
[54.00] MASTER | DISTRIB | INFO | KV[0054] -> 워커4 배정, 대기열=6/10, 일반
[55.00] MASTER | DISTRIB | INFO | KV[0055] -> 워커4 배정, 대기열=7/10, 일반
[56.00] MASTER | DISTRIB | INFO | KV[0056] -> 워커4 배정, 대기열=8/10, 일반
[57.00] MASTER | DISTRIB | INFO | KV[0057] -> 워커4 배정, 대기열=9/10, 일반
[58.00] MASTER | DISTRIB | INFO | KV[0058] -> 워커4 배정, 대기열=10/10, 일반
[59.00] MASTER | LB | SUCCESS | 워커1 작업 수신, 대상 워커2, 전송ID=2-1, 수량=3, 작업=0031:0,0027:0,0022:0
[60.00] MASTER | DISTRIB | INFO | KV[0059] -> 워커3 배정, 대기열=2/10, 일반
[61.00] MASTER | DISTRIB | INFO | KV[0060] -> 워커3 배정, 대기열=3/10, 일반
[62.00] MASTER | DISTRIB | INFO | KV[0061] -> 워커3 배정, 대기열=4/10, 일반
[63.00] MASTER | DISTRIB | INFO | KV[0062] -> 워커3 배정, 대기열=5/10, 일반
[64.00] MASTER | DISTRIB | INFO | KV[0063] -> 워커3 배정, 대기열=6/10, 일반
[65.00] MASTER | DISTRIB | INFO | KV[0064] -> 워커3 배정, 대기열=7/10, 일반
[66.00] MASTER | DISTRIB | INFO | KV[0065] -> 워커3 배정, 대기열=8/10, 일반
[67.00] MASTER | DISTRIB | INFO | KV[0066] -> 워커3 배정, 대기열=9/10, 일반
[68.00] MASTER | DISTRIB | INFO | KV[0067] -> 워커3 배정, 대기열=10/10, 일반
[69.00] MASTER | DISTRIB | INFO | KV[0068] -> 워커1 배정, 대기열=4/10, 일반
[70.00] MASTER | DISTRIB | INFO | KV[0069] -> 워커1 배정, 대기열=5/10, 일반
[71.00] MASTER | DISTRIB | INFO | KV[0070] -> 워커1 배정, 대기열=6/10, 일반
[72.00] MASTER | DISTRIB | INFO | KV[0071] -> 워커1 배정, 대기열=7/10, 일반
[73.00] MASTER | DISTRIB | INFO | KV[0072] -> 워커1 배정, 대기열=8/10, 일반
[74.00] MASTER | DISTRIB | INFO | KV[0073] -> 워커1 배정, 대기열=9/10, 일반
[75.00] MASTER | DISTRIB | INFO | KV[0074] -> 워커1 배정, 대기열=10/10, 일반
[76.00] MASTER | LB | SUCCESS | 워커1 작업 수신, 대상 워커4, 전송ID=4-1, 수량=3, 작업=0036:0,0030:0,0028:0
[77.00] MASTER | DISTRIB | INFO | KV[0075] -> 워커1 배정, 대기열=7/10, 일반
[78.00] MASTER | DISTRIB | INFO | KV[0076] -> 워커1 배정, 대기열=8/10, 일반
[79.00] MASTER | DISTRIB | INFO | KV[0077] -> 워커1 배정, 대기열=9/10, 일반
[80.00] MASTER | DISTRIB | INFO | KV[0078] -> 워커1 배정, 대기열=10/10, 일반
[81.00] MASTER | DISTRIB | INFO | KV[0079] -> 워커2 배정, 대기열=3/10, 일반
[82.00] MASTER | DISTRIB | INFO | KV[0080] -> 워커2 배정, 대기열=4/10, 일반
[83.00] MASTER | DISTRIB | INFO | KV[0081] -> 워커2 배정, 대기열=5/10, 일반
[84.00] MASTER | DISTRIB | INFO | KV[0082] -> 워커2 배정, 대기열=6/10, 일반
[85.00] MASTER | DISTRIB | INFO | KV[0083] -> 워커2 배정, 대기열=7/10, 일반
[86.00] MASTER | DISTRIB | INFO | KV[0084] -> 워커2 배정, 대기열=8/10, 일반
[87.00] MASTER | DISTRIB | INFO | KV[0085] -> 워커2 배정, 대기열=9/10, 일반
[88.00] MASTER | DISTRIB | INFO | KV[0086] -> 워커2 배정, 대기열=10/10, 일반
[89.00] MASTER | DISTRIB | INFO | KV[0087] -> 워커2 배정, 대기열=4/10, 일반
[90.00] MASTER | DISTRIB | INFO | KV[0088] -> 워커2 배정, 대기열=5/10, 일반
[91.00] MASTER | DISTRIB | INFO | KV[0089] -> 워커2 배정, 대기열=6/10, 일반
[92.00] MASTER | DISTRIB | INFO | KV[0090] -> 워커2 배정, 대기열=7/10, 일반
[93.00] MASTER | DISTRIB | INFO | KV[0091] -> 워커2 배정, 대기열=8/10, 일반
[94.00] MASTER | DISTRIB | INFO | KV[0092] -> 워커2 배정, 대기열=9/10, 일반
[95.00] MASTER | DISTRIB | INFO | KV[0093] -> 워커2 배정, 대기열=10/10, 일반
[96.00] MASTER | DISTRIB | INFO | KV[0094] -> 워커2 배정, 대기열=5/10, 일반
[97.00] MASTER | DISTRIB | INFO | KV[0095] -> 워커2 배정, 대기열=6/10, 일반
[98.00] MASTER | DISTRIB | INFO | KV[0096] -> 워커2 배정, 대기열=7/10, 일반
[99.00] MASTER | DISTRIB | INFO | KV[0097] -> 워커2 배정, 대기열=8/10, 일반
[100.00] MASTER | DISTRIB | INFO | KV[0098] -> 워커2 배정, 대기열=9/10, 일반
[101.00] MASTER | DISTRIB | INFO | KV[0099] -> 워커2 배정, 대기열=10/10, 일반
[102.00] MASTER | DISTRIB | INFO | KV[0100] -> 워커2 배정, 대기열=6/10, 일반
[103.00] MASTER | DISTRIB | INFO | KV[0101] -> 워커2 배정, 대기열=7/10, 일반
[104.00] MASTER | DISTRIB | INFO | KV[0102] -> 워커2 배정, 대기열=8/10, 일반
[105.00] MASTER | DISTRIB | INFO | KV[0103] -> 워커2 배정, 대기열=9/10, 일반
[106.00] MASTER | DISTRIB | INFO | KV[0104] -> 워커2 배정, 대기열=10/10, 일반
[107.00] MASTER | DISTRIB | INFO | KV[0105] -> 워커2 배정, 대기열=7/10, 일반
[108.00] MASTER | DISTRIB | INFO | KV[0106] -> 워커2 배정, 대기열=8/10, 일반
[109.00] MASTER | DISTRIB | INFO | KV[0107] -> 워커2 배정, 대기열=9/10, 일반
[110.00] MASTER | DISTRIB | INFO | KV[0108] -> 워커2 배정, 대기열=10/10, 일반
[111.00] MASTER | DISTRIB | INFO | KV[0109] -> 워커2 배정, 대기열=8/10, 일반
[112.00] MASTER | DISTRIB | INFO | KV[0110] -> 워커2 배정, 대기열=9/10, 일반
[113.00] MASTER | DISTRIB | INFO | KV[0111] -> 워커2 배정, 대기열=10/10, 일반
[114.00] MASTER | DISTRIB | INFO | KV[0112] -> 워커2 배정, 대기열=9/10, 일반
[115.00] MASTER | DISTRIB | INFO | KV[0113] -> 워커2 배정, 대기열=10/10, 일반
[116.00] MASTER | LB | SUCCESS | 워커2 작업 전송, 대상 워커1, 전송ID=2-1, 수량=3, 작업=0031:0,0027:0,0022:0
[117.00] MASTER | DISTRIB | INFO | KV[0114] -> 워커2 배정, 대기열=6/10, 일반
[118.00] MASTER | DISTRIB | INFO | KV[0115] -> 워커2 배정, 대기열=7/10, 일반
[119.00] MASTER | DISTRIB | INFO | KV[0116] -> 워커2 배정, 대기열=8/10, 일반
[120.00] MASTER | DISTRIB | INFO | KV[0117] -> 워커2 배정, 대기열=9/10, 일반
[121.00] MASTER | DISTRIB | INFO | KV[0118] -> 워커2 배정, 대기열=10/10, 일반
[122.00] MASTER | DISTRIB | INFO | KV[0119] -> 워커2 배정, 대기열=7/10, 일반
[123.00] MASTER | DISTRIB | INFO | KV[0120] -> 워커2 배정, 대기열=8/10, 일반
[124.00] MASTER | DISTRIB | INFO | KV[0121] -> 워커2 배정, 대기열=9/10, 일반
[125.00] MASTER | DISTRIB | INFO | KV[0122] -> 워커2 배정, 대기열=10/10, 일반
[126.00] MASTER | DISTRIB | INFO | KV[0123] -> 워커2 배정, 대기열=8/10, 일반
[127.00] MASTER | DISTRIB | INFO | KV[0124] -> 워커2 배정, 대기열=9/10, 일반
[128.00] MASTER | DISTRIB | INFO | KV[0125] -> 워커2 배정, 대기열=10/10, 일반
[131.82] MASTER | RESULT | SUCCESS | KV[0003] 워커2 저장 완료, Key=e499, 값=96, 처리=2.82초
[132.82] MASTER | DISTRIB | INFO | KV[0126] -> 워커2 배정, 대기열=7/10, 일반
[133.82] MASTER | DISTRIB | INFO | KV[0127] -> 워커2 배정, 대기열=8/10, 일반
[134.82] MASTER | DISTRIB | INFO | KV[0128] -> 워커2 배정, 대기열=9/10, 일반
[135.82] MASTER | DISTRIB | INFO | KV[0129] -> 워커2 배정, 대기열=10/10, 일반
[136.82] MASTER | DISTRIB | INFO | KV[0130] -> 워커4 배정, 대기열=3/10, 일반
[137.82] MASTER | DISTRIB | INFO | KV[0131] -> 워커4 배정, 대기열=4/10, 일반
[138.82] MASTER | DISTRIB | INFO | KV[0132] -> 워커4 배정, 대기열=5/10, 일반
[139.82] MASTER | DISTRIB | INFO | KV[0133] -> 워커4 배정, 대기열=6/10, 일반
[140.82] MASTER | DISTRIB | INFO | KV[0134] -> 워커4 배정, 대기열=7/10, 일반
[141.82] MASTER | DISTRIB | INFO | KV[0135] -> 워커4 배정, 대기열=8/10, 일반
[142.82] MASTER | DISTRIB | INFO | KV[0136] -> 워커4 배정, 대기열=9/10, 일반
[143.82] MASTER | DISTRIB | INFO | KV[0137] -> 워커4 배정, 대기열=10/10, 일반
