=== Worker1.txt (Worker Node 1 Log) ===
============================================================
Worker1 | Thread-based Worker | Ready Queue max=10
============================================================

[0.00] WORKER1 | INIT | INFO | 워커 Thread 시작, 마스터 연결 시도
[8.00] WORKER1 | CONNECT | SUCCESS | 마스터 연결, 대기열 초기화 (0/10)
[11.00] WORKER1 | RECV | INFO | KV[0001] 일반 작업 수신, 대기열=1/10
[15.00] WORKER1 | RECV | INFO | KV[0005] 일반 작업 수신, 대기열=2/10
[19.00] WORKER1 | RECV | INFO | KV[0009] 일반 작업 수신, 대기열=3/10
[23.00] WORKER1 | RECV | INFO | KV[0013] 일반 작업 수신, 대기열=4/10
[27.00] WORKER1 | RECV | INFO | KV[0017] 일반 작업 수신, 대기열=5/10
[31.00] WORKER1 | RECV | INFO | KV[0021] 일반 작업 수신, 대기열=6/10
[35.00] WORKER1 | RECV | INFO | KV[0025] 일반 작업 수신, 대기열=7/10
[39.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0029], 사유=Master 수신, 크기=7->8/10
[39.00] WORKER1 | RECV | INFO | KV[0029] 일반 작업 수신, 대기열=8/10
[39.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0029], 사유=P2P 송신, 크기=8->7/10
[39.00] WORKER1 | LB | INFO | 전송ID=1-1 ACCEPTED 확인, 복원 없이 이전 완료
[43.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0033], 사유=Master 수신, 크기=7->8/10
[43.00] WORKER1 | RECV | INFO | KV[0033] 일반 작업 수신, 대기열=8/10
[43.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0033], 사유=P2P 송신, 크기=8->7/10
[43.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0022], 사유=P2P 수신, 크기=7->8/10
[43.00] WORKER1 | LB | INFO | 전송ID=1-2 ACCEPTED 확인, 복원 없이 이전 완료
[47.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0037], 사유=Master 수신, 크기=8->9/10
[47.00] WORKER1 | RECV | INFO | KV[0037] 일반 작업 수신, 대기열=9/10
[47.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0036], 사유=P2P 수신, 크기=9->10/10
[47.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0036], 사유=P2P 송신, 크기=10->9/10
[47.00] WORKER1 | LB | INFO | 전송ID=1-3 ACCEPTED 확인, 복원 없이 이전 완료
[51.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0036], 사유=P2P 수신, 크기=9->10/10
[51.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0001], 사유=처리 시작, 크기=10->9/10
[51.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0040], 사유=P2P 수신, 크기=9->10/10
[51.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0040], 사유=P2P 송신, 크기=10->9/10
[51.00] WORKER1 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0036], 사유=P2P 송신, 크기=9->8/10
